itemId,name,description,price,category
OTH-009,Cookie,Fresh baked cookie,1.8,OTH
OTH-008,Apple Pie Slice,Slice of apple pie,3.5,OTH
FOOD-001,Cheese Burger,Beef burger with cheese,6.5,FOOD
OTH-007,Cheesecake Slice,Slice of cheesecake,3.8,OTH
FOOD-002,Chicken Burger,Grilled chicken burger,6.8,FOOD
OTH-006,Brownie,Chocolate brownie square,2.9,OTH
FOOD-003,Veggie Burger,Vegetarian burger patty,6.2,FOOD
OTH-005,Donut,Glazed donut,2.2,OTH
FOOD-004,French Fries,Crispy golden fries,3,FOOD
OTH-004,Chocolate Croissant,Croissant filled with chocolate,2.7,OTH
FOOD-005,Sweet Potato Fries,Sweet potato fries,3.5,FOOD
OTH-003,Croissant,Butter croissant,2.4,OTH
FOOD-006,Chicken Wrap,Grilled chicken wrap,5.8,FOOD
OTH-002,Blueberry Muffin,Blueberry muffin,2.8,OTH
FOOD-007,Falafel Wrap,Falafel wrap with salad,5.6,FOOD
OTH-001,Chocolate Muffin,Freshly baked chocolate muffin,2.8,OTH
FOOD-008,Margherita Pizza,Classic cheese pizza slice,4.5,FOOD
FOOD-009,Pepperoni Pizza,Pepperoni pizza slice,4.9,FOOD
BEV-013,Caramel-Mocha,Caramel Chocolate coffee,5,BEV
BEV-012,Caramel-Mocha,Caramel Chocolate coffee,5,drinks
BEV-010,Orange Juice,Fresh orange juice,2.9,BEV
FOOD-010,Vegetable Pizza,Mixed vegetable pizza slice,4.7,FOOD
FOOD-011,Chicken Salad,Fresh chicken salad,5.4,FOOD
FOOD-012,Caesar Salad,Classic Caesar salad,5.2,FOOD
FOOD-013,Grilled Sandwich,Toasted sandwich with filling,4.2,FOOD
FOOD-015,Onion Rings,Battered onion rings,3.2,FOOD
OTH-010,Ice Cream Scoop,Single scoop of ice cream,2.6,OTH
BEV-004,Latte,Espresso with steamed milk,3.4,BEV
BEV-005,Mocha,Chocolate flavored coffee,3.7,BEV
BEV-002,Americano,Espresso with hot water,2.8,BEV
BEV-003,Cappuccino,Espresso with steamed milk and foam,3.2,BEV
BEV-008,Green Tea,Hot green tea,2.4,BEV
BEV-009,Black Tea,Classic black tea,2.3,BEV
BEV-006,Flat White,Smooth espresso with milk,3.3,BEV
BEV-007,Hot Chocolate,Rich chocolate drink,3,BEV
BEV-001,Espresso,Single shot of espresso,2.5,BEV
Bev-0032,asddw,dsafghj,2,
Bev-0032,asddw,dsafghj,2,
0231-BEV,asfdasdas,2,2,214qwraszx
